,date,item,category,price,promotion,units_sold,sales_7d_avg,day_of_week,is_weekend,is_holiday,brand,discount,stock_available,stockout_flag
1604,2025-03-18,Diaper,Baby Care,250,0,55,52.285714285714285,Tuesday,0,0,Pampers,0.0,68,0
1607,2025-03-19,Diaper,Baby Care,250,1,57,51.142857142857146,Wednesday,0,0,Pampers,0.0,66,0
1610,2025-03-20,Diaper,Baby Care,200,1,57,51.857142857142854,Thursday,0,0,Pampers,0.2,64,0
1613,2025-03-21,Diaper,Baby Care,220,0,49,52.285714285714285,Friday,0,1,Pampers,0.12,55,0
1616,2025-03-22,Diaper,Baby Care,250,0,50,52.857142857142854,Saturday,1,0,Pampers,0.0,57,0
1619,2025-03-23,Diaper,Baby Care,220,1,60,53.0,Sunday,1,0,Pampers,0.12,67,0
1622,2025-03-24,Diaper,Baby Care,220,1,63,55.142857142857146,Monday,0,0,Pampers,0.12,64,0
1625,2025-03-25,Diaper,Baby Care,220,0,52,55.857142857142854,Tuesday,0,0,Pampers,0.12,67,0
1628,2025-03-26,Diaper,Baby Care,250,0,49,55.42857142857143,Wednesday,0,0,Pampers,0.0,57,0
1631,2025-03-27,Diaper,Baby Care,220,0,53,54.285714285714285,Thursday,0,0,Pampers,0.12,65,0
1634,2025-03-28,Diaper,Baby Care,200,0,46,53.714285714285715,Friday,0,1,Pampers,0.2,57,0
1637,2025-03-29,Diaper,Baby Care,250,1,65,53.285714285714285,Saturday,1,0,Pampers,0.0,81,0
1640,2025-03-30,Diaper,Baby Care,220,0,53,55.42857142857143,Sunday,1,0,Pampers,0.12,54,0
1643,2025-03-31,Diaper,Baby Care,220,0,54,54.42857142857143,Monday,0,1,Pampers,0.12,66,0
1646,2025-04-01,Diaper,Baby Care,250,0,52,53.142857142857146,Tuesday,0,0,Pampers,0.0,52,1
1649,2025-04-02,Diaper,Baby Care,220,1,63,53.142857142857146,Wednesday,0,0,Pampers,0.12,81,0
1652,2025-04-03,Diaper,Baby Care,200,0,52,55.142857142857146,Thursday,0,0,Pampers,0.2,62,0
1655,2025-04-04,Diaper,Baby Care,200,0,45,55.0,Friday,0,0,Pampers,0.2,49,0
1658,2025-04-05,Diaper,Baby Care,220,0,53,54.857142857142854,Saturday,1,0,Pampers,0.12,53,1
1661,2025-04-06,Diaper,Baby Care,220,0,52,53.142857142857146,Sunday,1,1,Pampers,0.12,71,0
1664,2025-04-07,Diaper,Baby Care,200,1,55,53.0,Monday,0,0,Pampers,0.2,67,0
1667,2025-04-08,Diaper,Baby Care,220,1,61,53.142857142857146,Tuesday,0,0,Pampers,0.12,68,0
1670,2025-04-09,Diaper,Baby Care,200,0,55,54.42857142857143,Wednesday,0,0,Pampers,0.2,60,0
1673,2025-04-10,Diaper,Baby Care,250,1,61,53.285714285714285,Thursday,0,0,Pampers,0.0,77,0
1676,2025-04-11,Diaper,Baby Care,220,0,55,54.57142857142857,Friday,0,0,Pampers,0.12,66,0
1679,2025-04-12,Diaper,Baby Care,220,0,53,56.0,Saturday,1,0,Pampers,0.12,53,1
1682,2025-04-13,Diaper,Baby Care,250,0,52,56.0,Sunday,1,1,Pampers,0.0,54,0
1685,2025-04-14,Diaper,Baby Care,200,0,55,56.0,Monday,0,0,Pampers,0.2,68,0
1688,2025-04-15,Diaper,Baby Care,220,1,62,56.0,Tuesday,0,0,Pampers,0.12,69,0
1691,2025-04-16,Diaper,Baby Care,220,0,47,56.142857142857146,Wednesday,0,0,Pampers,0.12,57,0
1694,2025-04-17,Diaper,Baby Care,250,0,45,55.0,Thursday,0,0,Pampers,0.0,58,0
1697,2025-04-18,Diaper,Baby Care,220,0,52,52.714285714285715,Friday,0,0,Pampers,0.12,59,0
1700,2025-04-19,Diaper,Baby Care,200,0,54,52.285714285714285,Saturday,1,0,Pampers,0.2,56,0
1703,2025-04-20,Diaper,Baby Care,220,0,51,52.42857142857143,Sunday,1,0,Pampers,0.12,57,0
1706,2025-04-21,Diaper,Baby Care,220,0,46,52.285714285714285,Monday,0,0,Pampers,0.12,64,0
1709,2025-04-22,Diaper,Baby Care,200,0,47,51.0,Tuesday,0,0,Pampers,0.2,50,0
1712,2025-04-23,Diaper,Baby Care,250,0,55,48.857142857142854,Wednesday,0,0,Pampers,0.0,70,0
1715,2025-04-24,Diaper,Baby Care,200,0,47,50.0,Thursday,0,0,Pampers,0.2,59,0
1718,2025-04-25,Diaper,Baby Care,200,0,55,50.285714285714285,Friday,0,0,Pampers,0.2,74,0
1721,2025-04-26,Diaper,Baby Care,220,0,48,50.714285714285715,Saturday,1,0,Pampers,0.12,66,0
1724,2025-04-27,Diaper,Baby Care,200,1,62,49.857142857142854,Sunday,1,0,Pampers,0.2,66,0
1727,2025-04-28,Diaper,Baby Care,200,0,55,51.42857142857143,Monday,0,0,Pampers,0.2,59,0
1730,2025-04-29,Diaper,Baby Care,200,0,48,52.714285714285715,Tuesday,0,0,Pampers,0.2,67,0
1733,2025-04-30,Diaper,Baby Care,200,0,45,52.857142857142854,Wednesday,0,0,Pampers,0.2,48,0
1736,2025-05-01,Diaper,Baby Care,220,0,54,51.42857142857143,Thursday,0,0,Pampers,0.12,55,0
1739,2025-05-02,Diaper,Baby Care,200,0,54,52.42857142857143,Friday,0,0,Pampers,0.2,66,0
1742,2025-05-03,Diaper,Baby Care,250,0,48,52.285714285714285,Saturday,1,0,Pampers,0.0,63,0
1745,2025-05-04,Diaper,Baby Care,250,0,50,52.285714285714285,Sunday,1,0,Pampers,0.0,51,0
1748,2025-05-05,Diaper,Baby Care,220,0,45,50.57142857142857,Monday,0,0,Pampers,0.12,63,0
1751,2025-05-06,Diaper,Baby Care,220,0,50,49.142857142857146,Tuesday,0,1,Pampers,0.12,66,0
1754,2025-05-07,Diaper,Baby Care,200,0,48,49.42857142857143,Wednesday,0,0,Pampers,0.2,52,0
1757,2025-05-08,Diaper,Baby Care,220,0,52,49.857142857142854,Thursday,0,0,Pampers,0.12,69,0
1760,2025-05-09,Diaper,Baby Care,200,0,50,49.57142857142857,Friday,0,0,Pampers,0.2,67,0
1763,2025-05-10,Diaper,Baby Care,200,1,60,49.0,Saturday,1,1,Pampers,0.2,67,0
1766,2025-05-11,Diaper,Baby Care,200,0,52,50.714285714285715,Sunday,1,0,Pampers,0.2,66,0
1769,2025-05-12,Diaper,Baby Care,200,0,54,51.0,Monday,0,0,Pampers,0.2,66,0
1772,2025-05-13,Diaper,Baby Care,250,1,65,52.285714285714285,Tuesday,0,0,Pampers,0.0,77,0
1775,2025-05-14,Diaper,Baby Care,220,0,54,54.42857142857143,Wednesday,0,0,Pampers,0.12,69,0
1778,2025-05-15,Diaper,Baby Care,200,0,46,55.285714285714285,Thursday,0,0,Pampers,0.2,65,0
1781,2025-05-16,Diaper,Baby Care,200,1,55,54.42857142857143,Friday,0,0,Pampers,0.2,67,0
1784,2025-05-17,Diaper,Baby Care,200,0,45,55.142857142857146,Saturday,1,0,Pampers,0.2,64,0
1787,2025-05-18,Diaper,Baby Care,220,1,65,53.0,Sunday,1,0,Pampers,0.12,66,0
1790,2025-05-19,Diaper,Baby Care,200,0,50,54.857142857142854,Monday,0,0,Pampers,0.2,52,0
1793,2025-05-20,Diaper,Baby Care,220,0,49,54.285714285714285,Tuesday,0,0,Pampers,0.12,63,0
1796,2025-05-21,Diaper,Baby Care,200,0,46,52.0,Wednesday,0,0,Pampers,0.2,64,0
1799,2025-05-22,Diaper,Baby Care,250,1,57,50.857142857142854,Thursday,0,0,Pampers,0.0,69,0
1802,2025-05-23,Diaper,Baby Care,220,0,48,52.42857142857143,Friday,0,0,Pampers,0.12,52,0
1805,2025-05-24,Diaper,Baby Care,250,0,46,51.42857142857143,Saturday,1,0,Pampers,0.0,51,0
1808,2025-05-25,Diaper,Baby Care,250,1,60,51.57142857142857,Sunday,1,1,Pampers,0.0,73,0
1811,2025-05-26,Diaper,Baby Care,250,1,64,50.857142857142854,Monday,0,0,Pampers,0.0,67,0
1814,2025-05-27,Diaper,Baby Care,220,1,59,52.857142857142854,Tuesday,0,0,Pampers,0.12,77,0
1817,2025-05-28,Diaper,Baby Care,200,0,48,54.285714285714285,Wednesday,0,0,Pampers,0.2,54,0
1820,2025-05-29,Diaper,Baby Care,220,0,54,54.57142857142857,Thursday,0,0,Pampers,0.12,57,0
1823,2025-05-30,Diaper,Baby Care,200,0,52,54.142857142857146,Friday,0,0,Pampers,0.2,53,0
1826,2025-05-31,Diaper,Baby Care,220,1,56,54.714285714285715,Saturday,1,0,Pampers,0.12,62,0
1829,2025-06-01,Diaper,Baby Care,220,0,53,56.142857142857146,Sunday,1,0,Pampers,0.12,55,0
1832,2025-06-02,Diaper,Baby Care,220,0,53,55.142857142857146,Monday,0,0,Pampers,0.12,67,0
1835,2025-06-03,Diaper,Baby Care,220,1,56,53.57142857142857,Tuesday,0,0,Pampers,0.12,56,1
1838,2025-06-04,Diaper,Baby Care,200,0,53,53.142857142857146,Wednesday,0,0,Pampers,0.2,54,0
1841,2025-06-05,Diaper,Baby Care,220,0,55,53.857142857142854,Thursday,0,0,Pampers,0.12,64,0
1844,2025-06-06,Diaper,Baby Care,250,0,55,54.0,Friday,0,0,Pampers,0.0,70,0
1847,2025-06-07,Diaper,Baby Care,250,0,49,54.42857142857143,Saturday,1,0,Pampers,0.0,63,0
1850,2025-06-08,Diaper,Baby Care,200,0,47,53.42857142857143,Sunday,1,0,Pampers,0.2,61,0
1853,2025-06-09,Diaper,Baby Care,220,0,52,52.57142857142857,Monday,0,0,Pampers,0.12,65,0
1856,2025-06-10,Diaper,Baby Care,250,0,45,52.42857142857143,Tuesday,0,0,Pampers,0.0,58,0
1859,2025-06-11,Diaper,Baby Care,250,0,54,50.857142857142854,Wednesday,0,0,Pampers,0.0,59,0
1862,2025-06-12,Diaper,Baby Care,250,1,62,51.0,Thursday,0,0,Pampers,0.0,75,0
1865,2025-06-13,Diaper,Baby Care,250,0,49,52.0,Friday,0,0,Pampers,0.0,65,0
1868,2025-06-14,Diaper,Baby Care,200,0,50,51.142857142857146,Saturday,1,0,Pampers,0.2,67,0
1871,2025-06-15,Diaper,Baby Care,220,0,51,51.285714285714285,Sunday,1,0,Pampers,0.12,70,0
1874,2025-06-16,Diaper,Baby Care,200,0,48,51.857142857142854,Monday,0,0,Pampers,0.2,66,0
1877,2025-06-17,Diaper,Baby Care,250,0,46,51.285714285714285,Tuesday,0,0,Pampers,0.0,62,0
1880,2025-06-18,Diaper,Baby Care,250,0,55,51.42857142857143,Wednesday,0,0,Pampers,0.0,70,0
1883,2025-06-19,Diaper,Baby Care,220,0,54,51.57142857142857,Thursday,0,0,Pampers,0.12,61,0
1886,2025-06-20,Diaper,Baby Care,250,0,46,50.42857142857143,Friday,0,0,Pampers,0.0,52,0
1889,2025-06-21,Diaper,Baby Care,250,0,53,50.0,Saturday,1,0,Pampers,0.0,72,0
1892,2025-06-22,Diaper,Baby Care,200,0,49,50.42857142857143,Sunday,1,0,Pampers,0.2,60,0
1895,2025-06-23,Diaper,Baby Care,200,0,55,50.142857142857146,Monday,0,0,Pampers,0.2,63,0
1898,2025-06-24,Diaper,Baby Care,220,0,53,51.142857142857146,Tuesday,0,0,Pampers,0.12,66,0
1901,2025-06-25,Diaper,Baby Care,200,0,51,52.142857142857146,Wednesday,0,0,Pampers,0.2,70,0
1904,2025-06-26,Diaper,Baby Care,250,0,54,51.57142857142857,Thursday,0,0,Pampers,0.0,54,1
1907,2025-06-27,Diaper,Baby Care,200,0,55,51.57142857142857,Friday,0,0,Pampers,0.2,64,0
1910,2025-06-28,Diaper,Baby Care,220,0,48,52.857142857142854,Saturday,1,0,Pampers,0.12,64,0
1913,2025-06-29,Diaper,Baby Care,200,0,54,52.142857142857146,Sunday,1,0,Pampers,0.2,70,0
1916,2025-06-30,Diaper,Baby Care,200,1,60,52.857142857142854,Monday,0,0,Pampers,0.2,76,0
1919,2025-07-01,Diaper,Baby Care,220,1,55,53.57142857142857,Tuesday,0,0,Pampers,0.12,58,0
1922,2025-07-02,Diaper,Baby Care,200,1,55,53.857142857142854,Wednesday,0,0,Pampers,0.2,71,0
1925,2025-07-03,Diaper,Baby Care,220,0,47,54.42857142857143,Thursday,0,0,Pampers,0.12,64,0
1928,2025-07-04,Diaper,Baby Care,220,1,61,53.42857142857143,Friday,0,0,Pampers,0.12,80,0
1931,2025-07-05,Diaper,Baby Care,200,0,49,54.285714285714285,Saturday,1,0,Pampers,0.2,50,0
1934,2025-07-06,Diaper,Baby Care,200,0,51,54.42857142857143,Sunday,1,0,Pampers,0.2,58,0
1937,2025-07-07,Diaper,Baby Care,200,0,55,54.0,Monday,0,0,Pampers,0.2,67,0
1940,2025-07-08,Diaper,Baby Care,250,0,52,53.285714285714285,Tuesday,0,0,Pampers,0.0,71,0
1943,2025-07-09,Diaper,Baby Care,250,0,49,52.857142857142854,Wednesday,0,0,Pampers,0.0,63,0
1946,2025-07-10,Diaper,Baby Care,220,0,48,52.0,Thursday,0,1,Pampers,0.12,67,0
1949,2025-07-11,Diaper,Baby Care,200,0,55,52.142857142857146,Friday,0,0,Pampers,0.2,63,0
1952,2025-07-12,Diaper,Baby Care,250,0,47,51.285714285714285,Saturday,1,1,Pampers,0.0,49,0
1955,2025-07-13,Diaper,Baby Care,250,0,53,51.0,Sunday,1,1,Pampers,0.0,55,0
1958,2025-07-14,Diaper,Baby Care,200,0,48,51.285714285714285,Monday,0,0,Pampers,0.2,49,0
1961,2025-07-15,Diaper,Baby Care,250,0,47,50.285714285714285,Tuesday,0,0,Pampers,0.0,47,1
1964,2025-07-16,Diaper,Baby Care,200,1,57,49.57142857142857,Wednesday,0,0,Pampers,0.2,70,0
1967,2025-07-17,Diaper,Baby Care,220,0,47,50.714285714285715,Thursday,0,0,Pampers,0.12,63,0
1970,2025-07-18,Diaper,Baby Care,200,1,62,50.57142857142857,Friday,0,0,Pampers,0.2,74,0
1973,2025-07-19,Diaper,Baby Care,200,0,49,51.57142857142857,Saturday,1,1,Pampers,0.2,67,0
1976,2025-07-20,Diaper,Baby Care,250,1,64,51.857142857142854,Sunday,1,0,Pampers,0.0,78,0
1979,2025-07-21,Diaper,Baby Care,220,0,52,53.42857142857143,Monday,0,0,Pampers,0.12,65,0
1982,2025-07-22,Diaper,Baby Care,250,0,45,54.0,Tuesday,0,0,Pampers,0.0,46,0
1985,2025-07-23,Diaper,Baby Care,220,1,55,53.714285714285715,Wednesday,0,0,Pampers,0.12,61,0
1988,2025-07-24,Diaper,Baby Care,200,0,45,53.42857142857143,Thursday,0,0,Pampers,0.2,61,0
1991,2025-07-25,Diaper,Baby Care,200,1,62,53.142857142857146,Friday,0,0,Pampers,0.2,79,0
1994,2025-07-26,Diaper,Baby Care,250,1,58,53.142857142857146,Saturday,1,0,Pampers,0.0,63,0
1997,2025-07-27,Diaper,Baby Care,250,0,50,54.42857142857143,Sunday,1,0,Pampers,0.0,57,0
2000,2025-07-28,Diaper,Baby Care,200,0,51,52.42857142857143,Monday,0,0,Pampers,0.2,52,0
1,2023-10-01,Soap,Personal Care,20,1,39,,Sunday,1,0,Dove,0.3333333333333333,39,1
4,2023-10-02,Soap,Personal Care,30,0,27,39.0,Monday,0,0,Dove,0.0,42,0
7,2023-10-03,Soap,Personal Care,30,1,37,33.0,Tuesday,0,0,Dove,0.0,43,0
10,2023-10-04,Soap,Personal Care,30,0,27,34.333333333333336,Wednesday,0,0,Dove,0.0,37,0
13,2023-10-05,Soap,Personal Care,20,0,26,32.5,Thursday,0,0,Dove,0.3333333333333333,40,0
16,2023-10-06,Soap,Personal Care,30,0,35,31.2,Friday,0,0,Dove,0.0,47,0
19,2023-10-07,Soap,Personal Care,25,0,25,31.833333333333332,Saturday,1,0,Dove,0.16666666666666666,26,0
22,2023-10-08,Soap,Personal Care,20,1,35,30.857142857142858,Sunday,1,0,Dove,0.3333333333333333,48,0
25,2023-10-09,Soap,Personal Care,25,0,30,30.285714285714285,Monday,0,0,Dove,0.16666666666666666,35,0
28,2023-10-10,Soap,Personal Care,20,0,30,30.714285714285715,Tuesday,0,0,Dove,0.3333333333333333,38,0
31,2023-10-11,Soap,Personal Care,20,0,27,29.714285714285715,Wednesday,0,0,Dove,0.3333333333333333,33,0
34,2023-10-12,Soap,Personal Care,25,0,34,29.714285714285715,Thursday,0,0,Dove,0.16666666666666666,51,0
37,2023-10-13,Soap,Personal Care,25,0,32,30.857142857142858,Friday,0,0,Dove,0.16666666666666666,40,0
40,2023-10-14,Soap,Personal Care,20,1,43,30.428571428571427,Saturday,1,0,Dove,0.3333333333333333,46,0
43,2023-10-15,Soap,Personal Care,20,0,29,33.0,Sunday,1,1,Dove,0.3333333333333333,37,0
46,2023-10-16,Soap,Personal Care,20,1,38,32.142857142857146,Monday,0,0,Dove,0.3333333333333333,41,0
49,2023-10-17,Soap,Personal Care,25,1,38,33.285714285714285,Tuesday,0,0,Dove,0.16666666666666666,49,0
52,2023-10-18,Soap,Personal Care,30,0,27,34.42857142857143,Wednesday,0,0,Dove,0.0,30,0
55,2023-10-19,Soap,Personal Care,30,0,25,34.42857142857143,Thursday,0,0,Dove,0.0,44,0
58,2023-10-20,Soap,Personal Care,20,1,38,33.142857142857146,Friday,0,0,Dove,0.3333333333333333,51,0
61,2023-10-21,Soap,Personal Care,20,0,31,34.0,Saturday,1,0,Dove,0.3333333333333333,37,0
64,2023-10-22,Soap,Personal Care,20,0,27,32.285714285714285,Sunday,1,0,Dove,0.3333333333333333,39,0
67,2023-10-23,Soap,Personal Care,30,0,33,32.0,Monday,0,0,Dove,0.0,40,0
70,2023-10-24,Soap,Personal Care,30,0,31,31.285714285714285,Tuesday,0,1,Dove,0.0,35,0
73,2023-10-25,Soap,Personal Care,20,0,35,30.285714285714285,Wednesday,0,0,Dove,0.3333333333333333,46,0
76,2023-10-26,Soap,Personal Care,30,0,28,31.428571428571427,Thursday,0,0,Dove,0.0,40,0
79,2023-10-27,Soap,Personal Care,30,0,34,31.857142857142858,Friday,0,0,Dove,0.0,53,0
82,2023-10-28,Soap,Personal Care,20,0,34,31.285714285714285,Saturday,1,0,Dove,0.3333333333333333,47,0
85,2023-10-29,Soap,Personal Care,25,0,25,31.714285714285715,Sunday,1,0,Dove,0.16666666666666666,42,0
88,2023-10-30,Soap,Personal Care,20,0,34,31.428571428571427,Monday,0,0,Dove,0.3333333333333333,53,0
91,2023-10-31,Soap,Personal Care,20,1,40,31.571428571428573,Tuesday,0,0,Dove,0.3333333333333333,43,0
94,2023-11-01,Soap,Personal Care,20,1,35,32.857142857142854,Wednesday,0,0,Dove,0.3333333333333333,52,0
97,2023-11-02,Soap,Personal Care,30,0,31,32.857142857142854,Thursday,0,0,Dove,0.0,37,0
100,2023-11-03,Soap,Personal Care,25,0,33,33.285714285714285,Friday,0,0,Dove,0.16666666666666666,47,0
103,2023-11-04,Soap,Personal Care,30,0,30,33.142857142857146,Saturday,1,0,Dove,0.0,35,0
106,2023-11-05,Soap,Personal Care,30,0,29,32.57142857142857,Sunday,1,0,Dove,0.0,44,0
109,2023-11-06,Soap,Personal Care,30,0,26,33.142857142857146,Monday,0,0,Dove,0.0,45,0
112,2023-11-07,Soap,Personal Care,20,0,28,32.0,Tuesday,0,0,Dove,0.3333333333333333,35,0
115,2023-11-08,Soap,Personal Care,30,0,32,30.285714285714285,Wednesday,0,0,Dove,0.0,47,0
118,2023-11-09,Soap,Personal Care,25,0,30,29.857142857142858,Thursday,0,0,Dove,0.16666666666666666,45,0
121,2023-11-10,Soap,Personal Care,20,0,32,29.714285714285715,Friday,0,0,Dove,0.3333333333333333,34,0
124,2023-11-11,Soap,Personal Care,30,1,44,29.571428571428573,Saturday,1,0,Dove,0.0,60,0
127,2023-11-12,Soap,Personal Care,20,0,27,31.571428571428573,Sunday,1,0,Dove,0.3333333333333333,35,0
130,2023-11-13,Soap,Personal Care,20,0,33,31.285714285714285,Monday,0,0,Dove,0.3333333333333333,35,0
133,2023-11-14,Soap,Personal Care,30,0,30,32.285714285714285,Tuesday,0,0,Dove,0.0,49,0
136,2023-11-15,Soap,Personal Care,25,0,35,32.57142857142857,Wednesday,0,0,Dove,0.16666666666666666,41,0
139,2023-11-16,Soap,Personal Care,30,0,35,33.0,Thursday,0,0,Dove,0.0,52,0
142,2023-11-17,Soap,Personal Care,30,0,30,33.714285714285715,Friday,0,0,Dove,0.0,41,0
145,2023-11-18,Soap,Personal Care,25,1,45,33.42857142857143,Saturday,1,0,Dove,0.16666666666666666,63,0
148,2023-11-19,Soap,Personal Care,20,0,25,33.57142857142857,Sunday,1,0,Dove,0.3333333333333333,40,0
151,2023-11-20,Soap,Personal Care,20,1,37,33.285714285714285,Monday,0,0,Dove,0.3333333333333333,53,0
154,2023-11-21,Soap,Personal Care,20,0,34,33.857142857142854,Tuesday,0,0,Dove,0.3333333333333333,53,0
157,2023-11-22,Soap,Personal Care,30,0,25,34.42857142857143,Wednesday,0,0,Dove,0.0,39,0
160,2023-11-23,Soap,Personal Care,30,0,25,33.0,Thursday,0,0,Dove,0.0,25,1
163,2023-11-24,Soap,Personal Care,25,0,29,31.571428571428573,Friday,0,0,Dove,0.16666666666666666,30,0
166,2023-11-25,Soap,Personal Care,25,0,27,31.428571428571427,Saturday,1,0,Dove,0.16666666666666666,34,0
169,2023-11-26,Soap,Personal Care,25,0,34,28.857142857142858,Sunday,1,0,Dove,0.16666666666666666,35,0
172,2023-11-27,Soap,Personal Care,30,0,27,30.142857142857142,Monday,0,0,Dove,0.0,45,0
175,2023-11-28,Soap,Personal Care,30,0,30,28.714285714285715,Tuesday,0,0,Dove,0.0,38,0
178,2023-11-29,Soap,Personal Care,20,0,33,28.142857142857142,Wednesday,0,0,Dove,0.3333333333333333,41,0
181,2023-11-30,Soap,Personal Care,30,0,33,29.285714285714285,Thursday,0,1,Dove,0.0,45,0
184,2023-12-01,Soap,Personal Care,20,1,43,30.428571428571427,Friday,0,0,Dove,0.3333333333333333,48,0
187,2023-12-02,Soap,Personal Care,30,0,25,32.42857142857143,Saturday,1,0,Dove,0.0,39,0
190,2023-12-03,Soap,Personal Care,25,0,30,32.142857142857146,Sunday,1,0,Dove,0.16666666666666666,48,0
193,2023-12-04,Soap,Personal Care,30,0,26,31.571428571428573,Monday,0,0,Dove,0.0,40,0
196,2023-12-05,Soap,Personal Care,30,0,25,31.428571428571427,Tuesday,0,0,Dove,0.0,42,0
199,2023-12-06,Soap,Personal Care,30,0,31,30.714285714285715,Wednesday,0,0,Dove,0.0,37,0
202,2023-12-07,Soap,Personal Care,30,0,31,30.428571428571427,Thursday,0,0,Dove,0.0,41,0
205,2023-12-08,Soap,Personal Care,25,0,31,30.142857142857142,Friday,0,0,Dove,0.16666666666666666,38,0
208,2023-12-09,Soap,Personal Care,30,1,44,28.428571428571427,Saturday,1,1,Dove,0.0,49,0
211,2023-12-10,Soap,Personal Care,25,0,30,31.142857142857142,Sunday,1,0,Dove,0.16666666666666666,37,0
214,2023-12-11,Soap,Personal Care,20,0,34,31.142857142857142,Monday,0,0,Dove,0.3333333333333333,35,0
217,2023-12-12,Soap,Personal Care,30,0,35,32.285714285714285,Tuesday,0,0,Dove,0.0,53,0
220,2023-12-13,Soap,Personal Care,20,0,28,33.714285714285715,Wednesday,0,0,Dove,0.3333333333333333,43,0
223,2023-12-14,Soap,Personal Care,20,0,25,33.285714285714285,Thursday,0,0,Dove,0.3333333333333333,31,0
226,2023-12-15,Soap,Personal Care,25,0,29,32.42857142857143,Friday,0,0,Dove,0.16666666666666666,38,0
229,2023-12-16,Soap,Personal Care,30,0,29,32.142857142857146,Saturday,1,0,Dove,0.0,40,0
232,2023-12-17,Soap,Personal Care,20,0,30,30.0,Sunday,1,1,Dove,0.3333333333333333,46,0
235,2023-12-18,Soap,Personal Care,25,0,35,30.0,Monday,0,0,Dove,0.16666666666666666,41,0
238,2023-12-19,Soap,Personal Care,30,0,32,30.142857142857142,Tuesday,0,0,Dove,0.0,39,0
241,2023-12-20,Soap,Personal Care,30,1,45,29.714285714285715,Wednesday,0,0,Dove,0.0,51,0
244,2023-12-21,Soap,Personal Care,25,0,32,32.142857142857146,Thursday,0,0,Dove,0.16666666666666666,35,0
247,2023-12-22,Soap,Personal Care,25,0,33,33.142857142857146,Friday,0,0,Dove,0.16666666666666666,35,0
250,2023-12-23,Soap,Personal Care,25,1,42,33.714285714285715,Saturday,1,0,Dove,0.16666666666666666,60,0
253,2023-12-24,Soap,Personal Care,25,0,33,35.57142857142857,Sunday,1,0,Dove,0.16666666666666666,47,0
256,2023-12-25,Soap,Personal Care,20,0,25,36.0,Monday,0,0,Dove,0.3333333333333333,28,0
259,2023-12-26,Soap,Personal Care,20,0,28,34.57142857142857,Tuesday,0,0,Dove,0.3333333333333333,36,0
262,2023-12-27,Soap,Personal Care,25,0,33,34.0,Wednesday,0,0,Dove,0.16666666666666666,45,0
265,2023-12-28,Soap,Personal Care,20,1,42,32.285714285714285,Thursday,0,0,Dove,0.3333333333333333,59,0
268,2023-12-29,Soap,Personal Care,20,1,43,33.714285714285715,Friday,0,0,Dove,0.3333333333333333,58,0
271,2023-12-30,Soap,Personal Care,20,0,31,35.142857142857146,Saturday,1,0,Dove,0.3333333333333333,31,1
274,2023-12-31,Soap,Personal Care,20,0,33,33.57142857142857,Sunday,1,0,Dove,0.3333333333333333,36,0
277,2024-01-01,Soap,Personal Care,20,0,29,33.57142857142857,Monday,0,0,Dove,0.3333333333333333,46,0
280,2024-01-02,Soap,Personal Care,30,1,38,34.142857142857146,Tuesday,0,0,Dove,0.0,45,0
283,2024-01-03,Soap,Personal Care,25,0,26,35.57142857142857,Wednesday,0,0,Dove,0.16666666666666666,45,0
286,2024-01-04,Soap,Personal Care,30,0,35,34.57142857142857,Thursday,0,0,Dove,0.0,50,0
289,2024-01-05,Soap,Personal Care,30,0,35,33.57142857142857,Friday,0,0,Dove,0.0,45,0
292,2024-01-06,Soap,Personal Care,20,0,32,32.42857142857143,Saturday,1,0,Dove,0.3333333333333333,51,0
295,2024-01-07,Soap,Personal Care,25,0,31,32.57142857142857,Sunday,1,0,Dove,0.16666666666666666,49,0
298,2024-01-08,Soap,Personal Care,20,0,26,32.285714285714285,Monday,0,0,Dove,0.3333333333333333,44,0
301,2024-01-09,Soap,Personal Care,30,0,33,31.857142857142858,Tuesday,0,0,Dove,0.0,50,0
304,2024-01-10,Soap,Personal Care,25,0,25,31.142857142857142,Wednesday,0,0,Dove,0.16666666666666666,43,0
307,2024-01-11,Soap,Personal Care,30,1,37,31.0,Thursday,0,0,Dove,0.0,47,0
310,2024-01-12,Soap,Personal Care,25,0,31,31.285714285714285,Friday,0,0,Dove,0.16666666666666666,33,0
313,2024-01-13,Soap,Personal Care,30,0,27,30.714285714285715,Saturday,1,0,Dove,0.0,34,0
316,2024-01-14,Soap,Personal Care,25,0,29,30.0,Sunday,1,0,Dove,0.16666666666666666,48,0
319,2024-01-15,Soap,Personal Care,20,1,44,29.714285714285715,Monday,0,0,Dove,0.3333333333333333,62,0
322,2024-01-16,Soap,Personal Care,20,0,26,32.285714285714285,Tuesday,0,0,Dove,0.3333333333333333,35,0
325,2024-01-17,Soap,Personal Care,25,0,27,31.285714285714285,Wednesday,0,0,Dove,0.16666666666666666,42,0
328,2024-01-18,Soap,Personal Care,25,0,32,31.571428571428573,Thursday,0,0,Dove,0.16666666666666666,36,0
331,2024-01-19,Soap,Personal Care,20,0,32,30.857142857142858,Friday,0,0,Dove,0.3333333333333333,51,0
334,2024-01-20,Soap,Personal Care,20,0,32,31.0,Saturday,1,0,Dove,0.3333333333333333,40,0
337,2024-01-21,Soap,Personal Care,20,1,45,31.714285714285715,Sunday,1,0,Dove,0.3333333333333333,52,0
